feature,mean_abs_shap
pm2_5,0.5641350823720477
aqi,0.29472235880661873
pm10,0.08815953542204302
pm2_5_lag_1,0.04345591234634953
no2,0.021777030882267245
o3,0.013482975485676028
no,0.010291113850538009
aqi_rolling_24,0.009208831050385127
so2,0.008854334198341281
aqi_rolling_72,0.007947411134370582
pm10_lag_1,0.007870976459578093
hour,0.007475291498209049
day,0.006000789138310995
nh3,0.005306244029089823
aqi_rolling_6,0.003448998527521687
month,0.0032597775941387965
co,0.0029462127618545947
aqi_lag_6,0.002508598161458896
aqi_lag_72,0.0024021042078855026
aqi_change,0.0021076051466252976
day_of_week,0.001764678900810807
aqi_lag_3,0.0012078795470182497
aqi_lag_24,0.0011336411592286183
aqi_lag_12,0.0009739596077696755
aqi_lag_48,0.0009138337972593189
aqi_lag_1,0.0007352708223146876
